fatigue_retention,effective_stress_GPa,rotor_Wh_kg,max_total_nonrotor_ratio,assumed_other_nonrotor_ratio,max_containment_ratio,feasible_before_containment_validation
0.55,7.333333333333333,679.0123456790124,0.3580246913580247,0.25,0.10802469135802473,True
0.55,7.333333333333333,679.0123456790124,0.3580246913580247,0.35,0.00802469135802475,True
0.55,7.333333333333333,679.0123456790124,0.3580246913580247,0.45,-0.09197530864197528,False
0.55,7.333333333333333,679.0123456790124,0.3580246913580247,0.55,-0.19197530864197532,False
0.6,8.0,740.7407407407408,0.4814814814814816,0.25,0.23148148148148162,True
0.6,8.0,740.7407407407408,0.4814814814814816,0.35,0.13148148148148164,True
0.6,8.0,740.7407407407408,0.4814814814814816,0.45,0.03148148148148161,True
0.6,8.0,740.7407407407408,0.4814814814814816,0.55,-0.06851851851851842,False
0.65,8.666666666666666,802.469135802469,0.6049382716049381,0.25,0.35493827160493807,True
0.65,8.666666666666666,802.469135802469,0.6049382716049381,0.35,0.2549382716049381,True
0.65,8.666666666666666,802.469135802469,0.6049382716049381,0.45,0.15493827160493806,True
0.65,8.666666666666666,802.469135802469,0.6049382716049381,0.55,0.05493827160493803,True
0.7,9.333333333333334,864.1975308641976,0.7283950617283952,0.25,0.4783950617283952,True
0.7,9.333333333333334,864.1975308641976,0.7283950617283952,0.35,0.3783950617283952,True
0.7,9.333333333333334,864.1975308641976,0.7283950617283952,0.45,0.2783950617283952,True
0.7,9.333333333333334,864.1975308641976,0.7283950617283952,0.55,0.17839506172839514,True
0.75,10.0,925.925925925926,0.8518518518518519,0.25,0.6018518518518519,True
0.75,10.0,925.925925925926,0.8518518518518519,0.35,0.5018518518518519,True
0.75,10.0,925.925925925926,0.8518518518518519,0.45,0.40185185185185185,True
0.75,10.0,925.925925925926,0.8518518518518519,0.55,0.3018518518518518,True
