total_nonrotor_mass_per_rotor_mass,required_effective_stress_GPa,required_fatigue_retention_at_SF1p5,required_tip_speed_m_s,rpm_at_0p5m,target_system_Wh_kg
0.4,7.56,0.567,2244.994432064365,42876.23532921911,500.0
0.5,8.1,0.6074999999999999,2323.7900077244503,44381.119972427994,500.0
0.6,8.64,0.648,2400.0,45836.62361046586,500.0
0.7,9.18,0.6885,2473.8633753705963,47247.310166907766,500.0
0.8,9.72,0.7290000000000001,2545.584412271571,48617.08107248373,500.0
1.0,10.8,0.8100000000000002,2683.281572999748,51246.903126036756,500.0
1.45,13.23,0.99225,2969.8484809834995,56719.92791789768,500.0
